pergunta,resposta
Quais são os principais movimentos da história do cinema?,"Alguns marcos: Expressionismo Alemão (estética distorcida, luz e sombra), Montagem Soviética (Eisenstein — montagem como força ideológica), Neorrealismo Italiano (realismo social pós-guerra), Nouvelle Vague Francesa (experimentos narrativos), Cinema Novo Brasileiro (crítica social e linguagem inovadora), New Hollywood (anos 1970, cineastas autorais no sistema de estúdio) e Dogme 95 (manifesto por simplicidade e autenticidade).",
O que foi o Neorrealismo Italiano?,"Movimento pós-Segunda Guerra que favorecia locações reais, atores não-profissionais, histórias sobre pobreza e vida cotidiana para representar a realidade social com simplicidade e ética documental. Filmes-chave: 'Ladrões de Bicicletas' e obras de Rossellini e De Sica.",
O que foi a Nouvelle Vague?,"Movimento francês (final dos anos 50/60) que rompeu com o cinema tradicional: câmera portátil, edição livre, histórias urbanas e experimentos narrativos. Diretores como Godard e Truffaut influenciaram a linguagem moderna do cinema e a ideia de autor-diretor.",
O que é Cinema Novo brasileiro?,"Movimento dos anos 1960 que combinou estética inovadora com crítica social e política, usando linguagem expressiva para discutir dependência cultural, desigualdade e identidade nacional. Diretores como Glauber Rocha e Nelson Pereira dos Santos foram centrais ao movimento.",
Quais são filmes brasileiros essenciais para conhecer?,"Alguns marcos: 'Rio 40 Graus' (1955), 'Deus e o Diabo na Terra do Sol' (1964), 'Vidas Secas' (1963), 'Central do Brasil' (1998), 'Cidade de Deus' (2002), 'Tropa de Elite' (2007), 'Aquarius' (2016), 'Bacurau' (2019). Cada um representa fases e questões do cinema nacional: modernismo, realismo social, ascensão contemporânea e debates políticos.",
O que caracteriza o cinema moderno brasileiro contemporâneo?,"Diversidade temática (regionalismo, violência urbana, memórias), produção independente, intercâmbio com festivais internacionais e combinações entre estética autoral e estratégias de público. Nos últimos anos houve maior visibilidade internacional e debates sobre financiamento, políticas culturais e distribuição.",
O que é roteiro e qual sua estrutura básica?,"Roteiro é o documento que descreve a narrativa, diálogos e ação. Estruturas comuns: ato 1 (setup), ato 2 (conflito/complicação), ato 3 (resolução) — o chamado modelo de três atos. Também se usam beats, arcos de personagem e pontos de virada para organizar a progressão dramática.",
O que é arc de personagem?,"Arco de personagem é a transformação interna/externa que um personagem atravessa: mudanças de crença, maturidade ou queda moral. Bons roteiros alinham arco emocional com eventos plot (o que acontece ao personagem e como isso o muda).",
O que faz um diretor?,"O diretor é o líder criativo que interpreta o roteiro, dirige atores, decide estética com o diretor de fotografia, coordena mise-en-scène e supervisiona pós-produção para realizar a visão do filme. Também toma decisões de casting, ritmo e, muitas vezes, trabalha em colaboração com produtores para viabilizar o projeto.",
O que faz um produtor?,"Produtor organiza financiamentos, equipa técnica, cronogramas, contratos e logística. Existem produtores executivos (financiamento e estratégia), produtores de linha (gestão diária) e coproductores. O produtor equilibra visão criativa e viabilidade econômica.",
O que é direção de arte e design de produção?,"Design de produção/ direção de arte cria o mundo físico do filme: cenografia, escolha de locações, objetos, paleta de cores e coerência visual histórica. Constrói a realidade onde os personagens vivem e reforça subtexto e época.",
O que é casting?,"Casting é processo de seleção de atores para papéis. O diretor e o diretor de elenco avaliam testes e química entre atores. Casting pode combinar estrelas (para atração comercial) e atores menos conhecidos (para autenticidade), dependendo do projeto.",
O que é câmera-operador vs diretor de fotografia?,"Câmera-operador manuseia fisicamente a câmera durante as filmagens; o diretor de fotografia (DP) define a linguagem visual (lentes, iluminação, composição) e supervisiona a equipe de câmera e iluminação. Em produções menores, uma pessoa pode acumular funções.",
O que é pós-produção?,"Pós-produção inclui edição, correção de cor, design de som, mixagem, efeitos visuais (VFX), legendagem/dublagem e finalização técnica. É onde o filme ganha seu ritmo final, sonoridade e aparência polida para distribuição.",
O que são efeitos visuais (VFX) e quando usá-los?,"VFX englobam manipulação digital (CGI), composição, matte painting e simulações (fogo, água). Usados para cenas impossíveis de filmar, ampliar mundos ou corrigir problemas de set. Hoje VFX variam de sutis (remoção de fios) a centrais (universos inteiros em filmes de fantasia).",
O que é montagem sonora e mixagem?,"Montagem sonora organiza diálogos, efeitos e música; mixagem equilibra volumes, espacialização e prioridades sonoras para que o público perceba a cena como desejado. Boa mixagem garante claridade e impacto emocional sem sobrecarregar o espectador.",
O que é classificação indicativa e censura?,"Classificação indicativa orienta faixa etária adequada; consulados/órgãos de cada país (no Brasil, CLASSIND) definem categorias. A censura é a supressão ou alteração de conteúdo por motivos políticos/morais — prática controversa e historicamente usada para controlar narrativas. Hoje a classificação informa, enquanto censura é objeto de debates sobre liberdade artística.",
O que é distribuição e janela de exibição?,"Distribuição organiza como o filme chega ao público: cinemas, festivais, plataformas digitais, TV e físico. 'Janelas' são períodos exclusivos (ex.: estreia nos cinemas, depois VOD/streaming). Estratégias de janela impactam receita e visibilidade.",
O que é mercado de festivais e por que participar?,"Festivais (Cannes, Berlim, Veneza, Sundance, Festival do Rio) são vitrines para crítica, compradores e público especializado. Participar pode garantir prêmios, distribuição internacional e buzz. Festivais também financiam projetos via mercados (e.g., Marché du Film) e mostram tendências estéticas.",
O que é financiamento de um filme?,"Financiamento combina fontes: produtora privada, leis de incentivo, editais públicos, coproductores, pre-sales (venda futura de direitos), investidores e crowdfunding. Em muitos países (Brasil incluso) existe apoio estatal e mecanismos fiscais que fomentam a produção audiovisual.",
Como funciona a Lei do Audiovisual e incentivos (contexto geral)?,"Leis de incentivo (variam por país) permitem dedução fiscal ou financiamento público para estimular produção cultural, apoiando projetos que de outra forma teriam dificuldade de captar recursos. No Brasil países, órgãos como ANCINE regulam e promovem linhas de fomento e políticas públicas para o setor.",
O que é crítica de cinema e qual seu papel?,"Crítica interpreta, avalia e contextualiza filmes para orientar público e fomentar debate. Críticos ajudam a ler camadas do filme, apontar tendências e influenciar recepção. A crítica pode ser jornalística, acadêmica ou de fãs; cada abordagem tem papel distinto na ecologia do cinema.",
O que é análise fílmica?,"Análise fílmica é investigação detalhada dos elementos do filme (narrativa, mise-en-scène, som, contexto histórico) para explicar significados e técnicas. Vai além da opinião, usando ferramentas teóricas para compreender como o filme produz efeitos e sentidos.",
Como escrever uma boa resenha de filme?,"Descreva brevemente o enredo (sem spoilers), avalie desempenho (direção, atuação, técnica), explique por que algo funciona ou falha e situe o filme em contexto (gênero, obra do diretor). Seja claro, justifique opiniões e indique para quem o filme pode agradar.",
"O que são longas, médias e curtas metragens?","Longa-metragem geralmente excede 60–70 minutos (varia por regulamento), curta-metragem tem duração curta (ex.: até 30 min) e média fica entre as duas. Curtas são frequentemente usados por cineastas emergentes para mostrar talento e participar de festivais.",
O que é documentário e quais subgêneros existem?,"Documentário representa realidades e pode variar: observacional (fly-on-the-wall), participativo (filmmaker aparece), expositivo (voz off explicativa), poético (ênfase estética), performativo (subjetividade do autor) e híbrido (mistura com ficção). Serve para informação, denúncia, memória e experimentação estética.",
